WindSpeed(m/s),ActivePower(kW),Theoretical_Power_Curve (KWh),Loss_Value(kW),Loss(%),count,direction
3.5,43.46,70.58,27.12,38.02,29,N
4.0,88.01,127.57,39.56,31.6,101,N
4.5,160.51,217.01,56.5,26.42,102,N
5.0,274.71,335.67,60.96,18.44,99,N
5.5,388.6,465.84,77.24,16.79,119,N
6.0,534.59,616.48,81.9,13.42,93,N
6.5,746.03,803.17,57.14,7.17,78,N
7.0,915.22,1004.84,89.62,8.78,72,N
7.5,1075.37,1258.12,182.75,14.76,72,N
8.0,1305.7,1532.68,226.99,14.72,71,N
8.5,1332.12,1831.34,499.23,26.94,83,N
9.0,1606.93,2131.8,524.88,24.61,60,N
9.5,2067.92,2444.03,376.11,15.42,40,N
10.0,2403.41,2760.53,357.12,12.99,49,N
10.5,2651.52,3053.01,401.49,13.24,56,N
11.0,2830.34,3276.89,446.55,13.64,52,N
11.5,2715.54,3418.51,702.98,20.53,29,N
12.0,3086.98,3523.04,436.06,12.36,16,N
12.5,3065.59,3578.21,512.61,14.32,14,N
13.0,3269.36,3597.4,328.04,9.11,15,N
13.5,3128.21,3600.0,471.79,13.11,17,N
14.0,3430.12,3600.0,169.88,4.72,8,N
14.5,3581.86,3600.0,18.14,0.5,6,N
15.0,3592.05,3600.0,7.95,0.22,8,N
15.5,3601.35,3600.0,-1.35,-0.04,3,N
16.0,3601.44,3600.0,-1.44,-0.04,1,N
16.5,3601.36,3600.0,-1.36,-0.04,1,N
3.5,50.64,68.57,17.92,26.55,95,NNE
4.0,101.34,129.72,28.37,22.21,269,NNE
4.5,184.02,223.98,39.96,17.78,363,NNE
5.0,283.82,337.34,53.52,15.91,330,NNE
5.5,401.33,472.42,71.09,15.16,446,NNE
6.0,554.28,628.22,73.94,11.76,504,NNE
6.5,722.58,806.86,84.28,10.51,557,NNE
7.0,925.5,1018.77,93.27,9.18,506,NNE
7.5,1121.04,1262.23,141.19,11.15,476,NNE
8.0,1345.0,1530.69,185.69,12.11,487,NNE
8.5,1542.69,1825.22,282.53,15.48,460,NNE
9.0,1812.4,2146.23,333.83,15.57,464,NNE
9.5,2023.78,2463.79,440.01,17.88,406,NNE
10.0,2267.24,2782.07,514.83,18.52,358,NNE
10.5,2572.0,3058.38,486.38,15.94,316,NNE
11.0,2823.46,3268.66,445.2,13.65,272,NNE
