,dataset,source
0,mtcars.csv,"R package, https://stat.ethz.ch/R-manual/R-devel/library/datasets/html/00Index.html"
1,mystocksn.csv,"A partir do Yahoo Finance API, https://finance.yahoo.com/"
2,Life_Expectancy_Data.csv,"WHO World Health Organization, https://www.who.int/"
3,gapminder_2015.csv,"Gapminder, https://www.gapminder.org/"
4,tips.csv,"Seaborn package, https://github.com/mwaskom/seaborn-data/blob/master/tips.csv"
5,sp500_ibov.csv,"A partir do Yahoo Finance API, https://finance.yahoo.com/"
6,T1_reshape.csv,"Kaggle, adaptado de https://www.kaggle.com/berkerisen/wind-turbine-scada-dataset"
7,T1_reshape_mean.csv,"Kaggle, adaptado de https://www.kaggle.com/berkerisen/wind-turbine-scada-dataset"
8,corona_Brasil.csv,"Corona Vírus Brasil, https://covid.saude.gov.br"
9,flights_delays_2015.csv,"Kaggle, adaptado de https://www.kaggle.com/usdot/flight-delays"
10,glassdoordata.csv,"Glassdoor, a partir de https://www.glassdoor.com.br/"
11,sp500_ibov_2000.csv,"A partir do Yahoo Finance API, https://finance.yahoo.com/"
12,energy_types.csv,"R for Data Science Online Learning Community, https://github.com/rfordatascience"
13,nightingale.csv,"Datasets for Visualization Construction, https://visdatasets.github.io/index.html"
