country,country_name,type,level,2016,2017,2018
BE,Belgium,Conventional thermal,Level 1,30728.0,31316.0,30092.635
BE,Belgium,Nuclear,Level 1,41430.0,40128.5,26995.627999999997
BE,Belgium,Hydro,Level 1,1476.0,1360.9,1239.248
BE,Belgium,Pumped hydro power,Level 2,1110.0,1093.2,983.1900000000003
BE,Belgium,Wind,Level 1,5340.0,6387.9000000000015,7177.346000000001
BE,Belgium,Solar,Level 1,3070.0,3264.3,3488.9790000000007
BE,Belgium,Geothermal,Level 1,0.0,0.0,0.0
BE,Belgium,Other,Level 1,476.0,490.9,218.509
BG,Bulgaria,Conventional thermal,Level 1,18909.0,20234.209,19334.0
BG,Bulgaria,Nuclear,Level 1,14932.0,14718.368,15290.0
BG,Bulgaria,Hydro,Level 1,4535.0,3458.015,4690.0
BG,Bulgaria,Pumped hydro power,Level 2,619.0,603.7130000000001,987.0
BG,Bulgaria,Wind,Level 1,1425.0,1504.0629999999999,1326.0
BG,Bulgaria,Solar,Level 1,1386.0,1402.766,1043.0
BG,Bulgaria,Geothermal,Level 1,0.0,0.0,0.0
BG,Bulgaria,Other,Level 1,34.0,33.882,22.0
CZ,Czechia,Conventional thermal,Level 1,47817.0,47246.628,48042.91499999999
CZ,Czechia,Nuclear,Level 1,22727.0,26785.6,28255.421
CZ,Czechia,Hydro,Level 1,3169.0,3007.403,2650.153
CZ,Czechia,Pumped hydro power,Level 2,1186.0,1155.492,1037.3170000000002
CZ,Czechia,Wind,Level 1,488.0,581.9169999999999,600.67
CZ,Czechia,Solar,Level 1,2110.0,2168.74,2317.645
CZ,Czechia,Geothermal,Level 1,0.0,0.0,0.0
CZ,Czechia,Other,Level 1,87.0,95.478,100.826
DK,Denmark,Conventional thermal,Level 1,15533.149,14104.326000000001,14072.337
DK,Denmark,Nuclear,Level 1,0.0,0.0,0.0
DK,Denmark,Hydro,Level 1,19.272000000000002,17.871,14.928999999999998
DK,Denmark,Pumped hydro power,Level 2,0.0,0.0,0.0
DK,Denmark,Wind,Level 1,12781.731000000002,14780.0,13898.806
DK,Denmark,Solar,Level 1,743.78,751.485,952.9729999999997
DK,Denmark,Geothermal,Level 1,0.0,0.0,0.0
DK,Denmark,Other,Level 1,0.0,0.0,0.044000000000000004
DE,Germany,Conventional thermal,Level 1,390141.0,376128.0,320437.701
DE,Germany,Nuclear,Level 1,80038.0,72155.0,72274.13299999999
DE,Germany,Hydro,Level 1,25690.0,25888.0,20041.878
DE,Germany,Pumped hydro power,Level 2,5451.0,5910.0,6661.083000000001
DE,Germany,Wind,Level 1,78218.0,103707.0,112174.0
DE,Germany,Solar,Level 1,38098.0,39401.0,46184.0
DE,Germany,Geothermal,Level 1,165.0,157.0,165.25
DE,Germany,Other,Level 1,1805.0,1623.0,522.751
EE,Estonia,Conventional thermal,Level 1,9795.0,10485.0,10170.042999999998
EE,Estonia,Nuclear,Level 1,0.0,0.0,0.0
EE,Estonia,Hydro,Level 1,35.0,26.0,18.2
EE,Estonia,Pumped hydro power,Level 2,0.0,0.0,0.0
EE,Estonia,Wind,Level 1,594.0,723.0,645.9
EE,Estonia,Solar,Level 1,0.0,0.0,0.0
EE,Estonia,Geothermal,Level 1,0.0,0.0,0.0
EE,Estonia,Other,Level 1,0.0,0.0,0.0
IE,Ireland,Conventional thermal,Level 1,22571.711,21745.666,19963.734
IE,Ireland,Nuclear,Level 1,0.0,0.0,0.0
IE,Ireland,Hydro,Level 1,962.8610000000001,885.765,921.9789999999999
IE,Ireland,Pumped hydro power,Level 2,288.676,201.18400000000003,234.93600000000004
IE,Ireland,Wind,Level 1,6148.508000000001,7444.741999999999,8349.171999999999
IE,Ireland,Solar,Level 1,6.16,10.800999999999998,0.0
IE,Ireland,Geothermal,Level 1,0.0,0.0,0.0
IE,Ireland,Other,Level 1,0.0,0.0,0.0
EL,Greece,Conventional thermal,Level 1,35586.0,37021.751000000004,34803.244
EL,Greece,Nuclear,Level 1,0.0,0.0,0.0
EL,Greece,Hydro,Level 1,5565.0,4039.0,5802.417
EL,Greece,Pumped hydro power,Level 2,22.0,77.259,636.1
EL,Greece,Wind,Level 1,5146.0,5536.986999999999,6300.26
EL,Greece,Solar,Level 1,3930.0,3991.4770000000003,3792.038
EL,Greece,Geothermal,Level 1,0.0,0.0,0.0
EL,Greece,Other,Level 1,0.0,0.0,10.99
ES,Spain,Conventional thermal,Level 1,108210.0,126885.0,110084.238
ES,Spain,Nuclear,Level 1,56100.0,55540.0,53270.8
ES,Spain,Hydro,Level 1,39180.0,20708.0,36083.636
ES,Spain,Pumped hydro power,Level 2,3410.0,2249.0,2009.408
ES,Spain,Wind,Level 1,47712.0,47929.0,49495.207
ES,Spain,Solar,Level 1,13051.0,13778.0,12137.315
ES,Spain,Geothermal,Level 1,0.0,0.0,0.0
ES,Spain,Other,Level 1,91.0,78.0,0.0
FR,France,Conventional thermal,Level 1,60607.85400000001,68922.94900000001,53956.44
FR,France,Nuclear,Level 1,384008.125,379093.955,393153.254
FR,France,Hydro,Level 1,64879.956,54432.864,68706.552
FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043
FR,France,Wind,Level 1,21472.916,24710.749,26134.02
FR,France,Solar,Level 1,8657.27,9572.843,9651.478
FR,France,Geothermal,Level 1,87.93299999999998,119.93700000000001,84.084
FR,France,Other,Level 1,559.515,673.71,0.0
HR,Croatia,Conventional thermal,Level 1,4241.0,4808.0,4155.654
HR,Croatia,Nuclear,Level 1,0.0,0.0,0.0
HR,Croatia,Hydro,Level 1,6967.0,5437.8,7681.336999999999
HR,Croatia,Pumped hydro power,Level 2,205.0,200.3,583.988
HR,Croatia,Wind,Level 1,1010.0,1198.4,1350.356
HR,Croatia,Solar,Level 1,66.0,78.7,69.193
HR,Croatia,Geothermal,Level 1,0.0,0.0,0.0
HR,Croatia,Other,Level 1,0.0,0.0,0.0
IT,Italy,Conventional thermal,Level 1,190121.0,199722.444,185046.0
IT,Italy,Nuclear,Level 1,0.0,0.0,0.0
IT,Italy,Hydro,Level 1,43784.622,37556.72100000001,49275.0
IT,Italy,Pumped hydro power,Level 2,1825.204,1825.96,1632.0
IT,Italy,Wind,Level 1,17523.0,17565.332,17318.0
IT,Italy,Solar,Level 1,21757.0,24016.821,22887.0
IT,Italy,Geothermal,Level 1,5867.0,5821.46,5708.0
IT,Italy,Other,Level 1,650.0,582.871,0.0
CY,Cyprus,Conventional thermal,Level 1,4295.0,4394.819,4380.142999999999
CY,Cyprus,Nuclear,Level 1,0.0,0.0,0.0
CY,Cyprus,Hydro,Level 1,0.0,0.0,0.0
CY,Cyprus,Pumped hydro power,Level 2,0.0,0.0,0.0
CY,Cyprus,Wind,Level 1,226.701,211.44799999999998,220.613
CY,Cyprus,Solar,Level 1,145.937,172.013,190.329
CY,Cyprus,Geothermal,Level 1,0.0,0.0,0.0
CY,Cyprus,Other,Level 1,0.0,0.0,0.0
LV,Latvia,Conventional thermal,Level 1,3277.0,2520.3830000000007,3962.0
LV,Latvia,Nuclear,Level 1,0.0,0.0,0.0
LV,Latvia,Hydro,Level 1,2523.0,4355.513,2418.0
LV,Latvia,Pumped hydro power,Level 2,0.0,0.0,0.0
LV,Latvia,Wind,Level 1,127.0,148.523,120.0
LV,Latvia,Solar,Level 1,0.0,0.44,0.0
LV,Latvia,Geothermal,Level 1,0.0,0.0,0.0
LV,Latvia,Other,Level 1,0.0,0.0,0.0
LT,Lithuania,Conventional thermal,Level 1,1566.0,1165.3000000000004,802.8350000000002
LT,Lithuania,Nuclear,Level 1,0.0,0.0,0.0
LT,Lithuania,Hydro,Level 1,1027.0,1164.6,940.677
LT,Lithuania,Pumped hydro power,Level 2,577.0,567.5,513.6840000000002
LT,Lithuania,Wind,Level 1,1130.0,1356.2,1136.357
LT,Lithuania,Solar,Level 1,66.0,67.0,80.01400000000002
LT,Lithuania,Geothermal,Level 1,0.0,0.0,0.0
LT,Lithuania,Other,Level 1,262.0,243.0,223.21200000000002
LU,Luxembourg,Conventional thermal,Level 1,449.564,450.167,463.13199999999995
LU,Luxembourg,Nuclear,Level 1,0.0,0.0,0.0
LU,Luxembourg,Hydro,Level 1,1516.352,1411.286,1326.3289999999995
LU,Luxembourg,Pumped hydro power,Level 2,1404.6670000000001,1329.398,1237.5539999999999
LU,Luxembourg,Wind,Level 1,101.486,234.82299999999998,263.708
LU,Luxembourg,Solar,Level 1,100.288,108.462,111.693
LU,Luxembourg,Geothermal,Level 1,0.0,0.0,0.0
LU,Luxembourg,Other,Level 1,0.0,0.0,0.0
HU,Hungary,Conventional thermal,Level 1,13156.0,14096.0,13489.643999999998
HU,Hungary,Nuclear,Level 1,15162.0,15206.0,14854.662
HU,Hungary,Hydro,Level 1,253.0,214.0,215.862
HU,Hungary,Pumped hydro power,Level 2,0.0,0.0,0.0
HU,Hungary,Wind,Level 1,665.0,737.0,589.406
HU,Hungary,Solar,Level 1,241.0,346.0,594.258
HU,Hungary,Geothermal,Level 1,0.0,1.0,6.047000000000001
HU,Hungary,Other,Level 1,71.0,76.0,0.0
MT,Malta,Conventional thermal,Level 1,680.0,1439.156,1716.4900000000002
MT,Malta,Nuclear,Level 1,0.0,0.0,0.0
MT,Malta,Hydro,Level 1,0.0,0.0,0.0
MT,Malta,Pumped hydro power,Level 2,0.0,0.0,0.0
MT,Malta,Wind,Level 1,0.0,0.057999999999999996,0.0
MT,Malta,Solar,Level 1,127.16,155.245,0.0
MT,Malta,Geothermal,Level 1,0.0,0.0,0.0
MT,Malta,Other,Level 1,0.0,0.0,0.0
NL,Netherlands,Conventional thermal,Level 1,97271.8,97231.607,94450.0
NL,Netherlands,Nuclear,Level 1,3750.0,3277.664,3313.3709999999996
NL,Netherlands,Hydro,Level 1,100.079,60.757,86.0
NL,Netherlands,Pumped hydro power,Level 2,0.0,0.0,0.0
NL,Netherlands,Wind,Level 1,8170.4619999999995,10568.797,12279.0
NL,Netherlands,Solar,Level 1,1601.811,2204.344,2423.0
NL,Netherlands,Geothermal,Level 1,0.0,0.0,0.0
NL,Netherlands,Other,Level 1,138.101,121.865,0.0
AT,Austria,Conventional thermal,Level 1,18065.01,20135.846,16350.753999999999
AT,Austria,Nuclear,Level 1,0.0,0.0,0.0
AT,Austria,Hydro,Level 1,40772.187999999995,40098.554,37217.29500000001
AT,Austria,Pumped hydro power,Level 2,2883.861,3683.8509999999997,13397.582
AT,Austria,Wind,Level 1,4968.262,6239.496999999999,5857.059
AT,Austria,Solar,Level 1,1040.698,1204.3110000000001,0.0
AT,Austria,Geothermal,Level 1,0.02,0.086,0.0
AT,Austria,Other,Level 1,14.692,11.868,6162.686
PL,Poland,Conventional thermal,Level 1,136945.0,137068.09900000002,138957.387
PL,Poland,Nuclear,Level 1,0.0,0.0,0.0
PL,Poland,Hydro,Level 1,2591.0,2999.86,2353.3360000000002
PL,Poland,Pumped hydro power,Level 2,474.0,448.19300000000004,402.36
PL,Poland,Wind,Level 1,12279.0,14574.192,12487.345
PL,Poland,Solar,Level 1,124.0,165.463,298.432
PL,Poland,Geothermal,Level 1,0.0,0.0,0.0
PL,Poland,Other,Level 1,64.0,61.73,0.0
PT,Portugal,Conventional thermal,Level 1,28702.0,36882.017,30887.0
PT,Portugal,Nuclear,Level 1,0.0,0.0,0.0
PT,Portugal,Hydro,Level 1,16794.113,7489.938,13489.0
PT,Portugal,Pumped hydro power,Level 2,1186.0,1699.9479999999999,3120.0
PT,Portugal,Wind,Level 1,12343.336000000001,12112.464,12530.0
PT,Portugal,Solar,Level 1,870.6030000000002,991.546,974.0
