continent,country,year,demox_eiu,income_per_person,invest_%_gdp,tax_%_gdp,gini_index,LifeExpect,HappyIdx,SchoolYears15_24,VacineBelieve,ChildMortality,Co2Emissions,CPI,Population
Africa,Botswana,2015,78.7,15700,32.1,24.7,60.5,66.9,0.376,8.4,,40.7,2.56,63.0,2120000
Africa,Burkina Faso,2015,47.0,1600,24.3,15.1,35.5,60.7,0.442,3.76,,86.8,0.182,38.0,18100000
Africa,Cote d'Ivoire,2015,33.1,3230,20.1,15.4,41.6,61.0,0.445,6.59,,90.0,0.405,32.0,23200000
Africa,Egypt,2015,31.8,10200,14.3,12.5,31.2,70.2,0.47600000000000003,10.6,,23.6,2.37,36.0,92400000
Africa,Kenya,2015,53.3,2800,21.5,16.3,41.5,64.7,0.436,9.06,,46.3,0.341,25.0,47900000
Africa,Malawi,2015,55.5,1140,12.2,15.2,45.5,61.7,0.387,6.85,,59.2,0.0669,31.0,16700000
Africa,Mali,2015,57.0,1920,17.4,14.1,33.0,61.1,0.45799999999999996,3.76,,109.0,0.17800000000000002,35.0,17400000
Africa,Mauritius,2015,82.8,18900,18.1,8.99,35.8,74.5,,10.8,,14.3,3.35,53.0,1260000
Africa,Mozambique,2015,46.0,1160,45.3,21.9,53.2,56.2,0.455,4.79,,81.8,0.233,31.0,27000000
Africa,Namibia,2015,63.1,10500,33.8,32.5,59.5,65.5,,8.77,,44.9,1.71,53.0,2310000
Africa,Rwanda,2015,30.7,1770,26.4,13.7,45.3,67.7,0.348,5.82,,41.3,0.0816,54.0,11400000
Africa,Senegal,2015,60.8,3000,25.1,20.6,40.3,67.5,0.462,5.26,,50.1,0.695,44.0,14600000
Africa,South Africa,2015,75.6,12400,21.0,27.3,63.1,63.4,0.489,10.8,0.064,37.7,8.35,44.0,55400000
Africa,Togo,2015,34.1,1470,20.7,21.8,43.5,62.8,0.377,7.71,,76.8,0.369,32.0,7320000
Africa,Uganda,2015,52.2,1750,24.6,12.9,41.9,64.5,0.424,7.75,,54.8,0.133,25.0,38200000
Africa,Zambia,2015,62.8,3680,42.8,16.8,57.0,62.0,0.484,8.29,,64.6,0.271,38.0,15900000
Americas,Argentina,2015,70.2,19200,17.1,12.3,41.8,76.5,0.67,11.7,0.005,11.5,4.64,32.0,43100000
Americas,Brazil,2015,69.6,14800,17.4,12.8,51.6,75.5,0.655,8.21,0.006999999999999999,15.7,2.42,38.0,204000000
Americas,Canada,2015,90.8,43100,24.1,12.3,31.7,81.7,0.741,14.3,0.062,5.28,16.0,83.0,36000000
Americas,Chile,2015,78.4,22300,23.8,17.4,47.5,79.6,0.653,12.7,,7.89,4.55,70.0,18000000
Americas,Colombia,2015,66.2,13100,26.7,15.1,51.7,80.0,0.639,10.1,0.03,15.7,1.96,37.0,47500000
Americas,Costa Rica,2015,79.6,14600,18.4,13.7,48.7,79.9,0.685,9.93,,9.05,1.51,55.0,4850000
Americas,Dominican Republic,2015,66.7,13700,22.6,13.3,45.3,72.8,0.506,9.73,,31.3,2.29,33.0,10300000
Americas,El Salvador,2015,66.4,6980,15.6,16.9,41.1,72.1,0.602,9.34,,15.3,1.07,39.0,6330000
Americas,Guatemala,2015,59.2,7290,13.6,10.2,48.5,72.9,0.6459999999999999,7.9,,29.0,0.95,28.0,16300000
Americas,Honduras,2015,58.4,4250,25.1,17.3,50.5,72.1,0.485,8.29,,19.5,1.08,31.0,9110000
Americas,Mexico,2015,65.5,17500,23.3,12.8,46.5,75.9,0.624,10.8,0.12,14.8,3.96,31.0,122000000
Americas,Nicaragua,2015,52.6,4850,32.7,15.8,46.1,78.1,0.5920000000000001,8.07,,18.8,0.8440000000000001,27.0,6220000
Americas,Paraguay,2015,63.3,11100,16.8,12.9,48.4,75.8,0.556,9.16,,22.2,0.905,27.0,6690000
Americas,Peru,2015,65.8,12100,24.2,14.9,43.7,80.0,0.5579999999999999,11.5,0.025,16.1,1.69,36.0,30500000
Americas,United States,2015,80.5,53200,20.4,11.2,41.3,78.8,0.6859999999999999,13.4,0.08800000000000001,6.8,16.9,76.0,321000000
Americas,Uruguay,2015,81.7,19900,19.7,18.5,40.1,77.0,0.6629999999999999,10.4,,8.85,1.94,74.0,3410000
Asia,Afghanistan,2015,27.7,1770,19.4,7.55,36.8,61.2,0.39799999999999996,5.27,0.036000000000000004,70.4,0.262,11.0,34400000
Asia,Armenia,2015,40.0,8170,20.7,20.9,31.9,75.3,0.435,11.6,0.076,14.4,1.65,35.0,2930000
Asia,Azerbaijan,2015,27.1,16800,27.9,15.6,32.4,70.5,0.515,12.3,0.139,26.3,3.86,29.0,9620000
Asia,Bangladesh,2015,57.3,3230,28.9,8.5,32.3,72.5,0.46299999999999997,7.13,0.003,36.1,0.467,25.0,156000000
Asia,Cambodia,2015,42.7,3290,22.5,14.2,42.0,69.3,0.41600000000000004,7.52,,32.0,0.545,21.0,15500000
Asia,China,2015,31.4,13500,45.4,9.37,39.4,76.5,0.53,11.2,0.135,10.7,6.91,37.0,1410000000
Asia,Indonesia,2015,70.3,10400,34.1,10.8,39.1,71.0,0.504,9.83,0.02,28.0,1.96,36.0,258000000
Asia,Iraq,2015,40.8,15000,24.4,1.23,29.5,76.3,0.449,8.57,0.0,29.5,4.66,16.0,35600000
Asia,Israel,2015,77.7,32100,19.8,23.4,41.4,82.6,0.708,14.3,0.0,3.92,8.15,61.0,7980000
Asia,Japan,2015,79.6,37800,24.0,11.4,32.1,84.1,0.588,14.7,0.047,3.02,9.58,75.0,128000000
Asia,Kuwait,2015,38.5,70300,25.4,1.38,40.0,82.9,0.615,11.8,,8.56,24.1,49.0,3840000
Asia,Kazakhstan,2015,30.6,23500,27.9,9.84,26.9,71.7,0.595,12.4,,11.9,15.0,28.0,17600000
Asia,Kyrgyz Republic,2015,53.3,3230,34.7,16.8,27.6,71.9,0.491,12.4,,22.3,1.73,28.0,5960000
Asia,Lao,2015,22.1,5690,31.6,13.5,36.4,66.6,,7.43,,53.6,1.31,25.0,6740000
Asia,Lebanon,2015,48.6,11900,21.4,13.6,31.8,77.8,0.517,10.6,0.026000000000000002,8.3,3.69,28.0,6530000
Asia,Malaysia,2015,64.3,25400,25.1,14.3,41.2,74.6,0.632,12.1,,8.0,7.71,50.0,30300000
