Date,SP500,IBOV,YYYY-MM
2000-01-03,1455.219970703125,16930.0,2000-01
2000-01-04,1399.4200439453125,15851.0,2000-01
2000-01-05,1402.1099853515625,16245.0,2000-01
2000-01-06,1403.449951171875,16107.0,2000-01
2000-01-07,1441.469970703125,16309.0,2000-01
2000-01-10,1457.5999755859375,17022.0,2000-01
2000-01-11,1438.56005859375,16573.0,2000-01
2000-01-12,1432.25,16617.0,2000-01
2000-01-13,1449.6800537109375,17298.0,2000-01
2000-01-14,1465.1500244140625,17658.0,2000-01
2000-01-17,,18053.0,2000-01
2000-01-18,1455.1400146484375,17903.0,2000-01
2000-01-19,1455.9000244140625,17470.0,2000-01
2000-01-20,1445.5699462890625,17177.0,2000-01
2000-01-21,1441.3599853515625,17034.0,2000-01
2000-01-24,1401.530029296875,16972.0,2000-01
2000-01-25,1410.030029296875,,2000-01
2000-01-26,1404.0899658203125,17105.0,2000-01
2000-01-27,1398.56005859375,17081.0,2000-01
2000-01-28,1360.1600341796875,16734.0,2000-01
2000-01-31,1394.4599609375,16388.0,2000-01
2000-02-01,1409.280029296875,16522.0,2000-02
2000-02-02,1409.1199951171875,16868.0,2000-02
2000-02-03,1424.969970703125,17457.0,2000-02
2000-02-04,1424.3699951171875,17932.0,2000-02
2000-02-07,1424.239990234375,18126.0,2000-02
2000-02-08,1441.719970703125,18686.0,2000-02
2000-02-09,1411.7099609375,18361.0,2000-02
2000-02-10,1416.8299560546875,18604.0,2000-02
2000-02-11,1387.1199951171875,18083.0,2000-02
2000-02-14,1389.93994140625,17819.0,2000-02
2000-02-15,1402.050048828125,17921.0,2000-02
2000-02-16,1387.6700439453125,18112.0,2000-02
2000-02-17,1388.260009765625,17979.0,2000-02
2000-02-18,1346.0899658203125,17625.0,2000-02
2000-02-21,,17700.0,2000-02
2000-02-22,1352.1700439453125,17489.0,2000-02
2000-02-23,1360.68994140625,17833.0,2000-02
2000-02-24,1353.4300537109375,17776.0,2000-02
2000-02-25,1333.3599853515625,17787.0,2000-02
2000-02-28,1348.050048828125,17543.0,2000-02
2000-02-29,1366.4200439453125,17660.0,2000-02
2000-03-01,1379.18994140625,17953.0,2000-03
2000-03-02,1381.760009765625,18016.0,2000-03
2000-03-03,1409.1700439453125,18632.0,2000-03
2000-03-06,1391.280029296875,,2000-03
2000-03-07,1355.6199951171875,,2000-03
2000-03-08,1366.699951171875,18283.0,2000-03
2000-03-09,1401.68994140625,18650.0,2000-03
2000-03-10,1395.0699462890625,18280.0,2000-03
2000-03-13,1383.6199951171875,17595.0,2000-03
2000-03-14,1359.1500244140625,17222.0,2000-03
2000-03-15,1392.1400146484375,17382.0,2000-03
2000-03-16,1458.469970703125,17642.0,2000-03
2000-03-17,1464.469970703125,17511.0,2000-03
2000-03-20,1456.6300048828125,17526.0,2000-03
2000-03-21,1493.8699951171875,18343.0,2000-03
2000-03-22,1500.6400146484375,18314.0,2000-03
2000-03-23,1527.3499755859375,18331.0,2000-03
2000-03-24,1527.4599609375,18675.0,2000-03
2000-03-27,1523.8599853515625,18951.0,2000-03
2000-03-28,1507.72998046875,18338.0,2000-03
2000-03-29,1508.52001953125,18053.0,2000-03
2000-03-30,1487.9200439453125,17647.0,2000-03
2000-03-31,1498.5799560546875,17820.0,2000-03
2000-04-03,1505.969970703125,17245.0,2000-04
2000-04-04,1494.72998046875,16758.0,2000-04
2000-04-05,1487.3699951171875,16714.0,2000-04
2000-04-06,1501.3399658203125,17146.0,2000-04
2000-04-07,1516.3499755859375,17514.0,2000-04
2000-04-10,1504.4599609375,16783.0,2000-04
2000-04-11,1500.5899658203125,16539.0,2000-04
2000-04-12,1467.1700439453125,16323.0,2000-04
2000-04-13,1440.510009765625,15501.0,2000-04
2000-04-14,1356.56005859375,14794.0,2000-04
2000-04-17,1401.43994140625,14816.0,2000-04
2000-04-18,1441.6099853515625,15408.0,2000-04
2000-04-19,1427.469970703125,14926.0,2000-04
2000-04-20,1434.5400390625,15203.0,2000-04
2000-04-24,1429.8599853515625,14794.0,2000-04
2000-04-25,1477.43994140625,15401.0,2000-04
2000-04-26,1460.989990234375,15446.0,2000-04
2000-04-27,1464.9200439453125,15440.0,2000-04
2000-04-28,1452.4300537109375,15538.0,2000-04
2000-05-01,1468.25,,2000-05
2000-05-02,1446.2900390625,15524.0,2000-05
2000-05-03,1415.0999755859375,15109.0,2000-05
2000-05-04,1409.5699462890625,14970.0,2000-05
2000-05-05,1432.6300048828125,15218.0,2000-05
2000-05-08,1424.1700439453125,14891.0,2000-05
2000-05-09,1412.1400146484375,14582.0,2000-05
2000-05-10,1383.050048828125,14434.0,2000-05
2000-05-11,1407.81005859375,14499.0,2000-05
2000-05-12,1420.9599609375,14459.0,2000-05
2000-05-15,1452.3599853515625,15056.0,2000-05
2000-05-16,1466.0400390625,15360.0,2000-05
2000-05-17,1447.800048828125,14871.0,2000-05
2000-05-18,1437.2099609375,14627.0,2000-05
2000-05-19,1406.949951171875,14327.0,2000-05
2000-05-22,1400.719970703125,13891.0,2000-05
2000-05-23,1373.8599853515625,13587.0,2000-05
2000-05-24,1399.050048828125,14166.0,2000-05
2000-05-25,1381.52001953125,14186.0,2000-05
2000-05-26,1378.02001953125,14542.0,2000-05
2000-05-29,,14773.0,2000-05
2000-05-30,1422.449951171875,15249.0,2000-05
2000-05-31,1420.5999755859375,14957.0,2000-05
2000-06-01,1448.81005859375,15450.0,2000-06
2000-06-02,1477.260009765625,16222.0,2000-06
2000-06-05,1467.6300048828125,16023.0,2000-06
2000-06-06,1457.8399658203125,15947.0,2000-06
2000-06-07,1471.3599853515625,16272.0,2000-06
2000-06-08,1461.6700439453125,16399.0,2000-06
2000-06-09,1456.949951171875,16342.0,2000-06
2000-06-12,1446.0,16097.0,2000-06
2000-06-13,1469.43994140625,16354.0,2000-06
2000-06-14,1470.5400390625,16366.0,2000-06
2000-06-15,1478.72998046875,16561.0,2000-06
2000-06-16,1464.4599609375,16425.0,2000-06
